,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55
665,665,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938592209125,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
666,666,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198834697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
667,667,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713628282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
668,668,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956478260548181,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
669,669,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010748686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
670,670,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957134008111576,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
671,671,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867792616923,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
672,672,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919318955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
673,673,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334432171793,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
674,674,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370365213136,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
675,675,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232086580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
676,676,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048150992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
677,677,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599045815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
678,678,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166540344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
679,679,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.8505496216933848,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
680,680,0.03116686485873129,0.6892742678919712,2.5073659487937245,1.3264136839084655,4.4750208689211695,2.6995538849069423,1.440425423421013,4.811199891747747,5.1781518662337715,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463197577171,4.526611199758819,4.013623348034407,4.967300784210822
