,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60,theta_61,theta_62,theta_63,theta_64,theta_65,theta_66,theta_67,theta_68,theta_69,theta_70,theta_71
665,665,0.028066947780619356,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918145894201,0.253880133765396,3.2535943756315877,2.613202696774392,3.3867565921297085,2.6385111609228713,1.8289123064381223,0.2641331797065287,3.0712558779880172,6.263157239491086,6.140357882997229,0.27589711413788454,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
666,666,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.25388014376539597,3.2535943756315877,2.613202696774392,3.3867565921297085,2.6385111609228713,1.8289123064381223,0.2641331797065287,3.0712558779880172,6.263157239491086,6.140357882997229,0.27589711413788454,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
667,667,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.253880133765396,3.2535943856315876,2.613202696774392,3.3867565921297085,2.6385111609228713,1.8289123064381223,0.2641331797065287,3.0712558779880172,6.263157239491086,6.140357882997229,0.27589711413788454,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
668,668,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.253880133765396,3.2535943756315877,2.613202706774392,3.3867565921297085,2.6385111609228713,1.8289123064381223,0.2641331797065287,3.0712558779880172,6.263157239491086,6.140357882997229,0.27589711413788454,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
669,669,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.253880133765396,3.2535943756315877,2.613202696774392,3.3867566021297084,2.6385111609228713,1.8289123064381223,0.2641331797065287,3.0712558779880172,6.263157239491086,6.140357882997229,0.27589711413788454,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
670,670,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.253880133765396,3.2535943756315877,2.613202696774392,3.3867565921297085,2.6385111709228712,1.8289123064381223,0.2641331797065287,3.0712558779880172,6.263157239491086,6.140357882997229,0.27589711413788454,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
671,671,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.253880133765396,3.2535943756315877,2.613202696774392,3.3867565921297085,2.6385111609228713,1.8289123164381222,0.2641331797065287,3.0712558779880172,6.263157239491086,6.140357882997229,0.27589711413788454,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
672,672,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.253880133765396,3.2535943756315877,2.613202696774392,3.3867565921297085,2.6385111609228713,1.8289123064381223,0.2641331897065287,3.0712558779880172,6.263157239491086,6.140357882997229,0.27589711413788454,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
673,673,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.253880133765396,3.2535943756315877,2.613202696774392,3.3867565921297085,2.6385111609228713,1.8289123064381223,0.2641331797065287,3.071255887988017,6.263157239491086,6.140357882997229,0.27589711413788454,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
674,674,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.253880133765396,3.2535943756315877,2.613202696774392,3.3867565921297085,2.6385111609228713,1.8289123064381223,0.2641331797065287,3.0712558779880172,6.263157249491086,6.140357882997229,0.27589711413788454,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
675,675,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.253880133765396,3.2535943756315877,2.613202696774392,3.3867565921297085,2.6385111609228713,1.8289123064381223,0.2641331797065287,3.0712558779880172,6.263157239491086,6.140357892997229,0.27589711413788454,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
676,676,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.253880133765396,3.2535943756315877,2.613202696774392,3.3867565921297085,2.6385111609228713,1.8289123064381223,0.2641331797065287,3.0712558779880172,6.263157239491086,6.140357882997229,0.27589712413788453,2.860864833711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
677,677,0.028066947788551126,1.3968747969023159,4.067986126862131,3.240590491337438,3.7888044068765265,3.3289878163638464,5.890207193096712,4.7127497754064125,2.091918135894201,0.253880133765396,3.2535943756315877,2.613202696774392,3.3867565921297085,2.6385111609228713,1.8289123064381223,0.2641331797065287,3.0712558779880172,6.263157239491086,6.140357882997229,0.27589711413788454,2.860864843711377,1.9701129645912214,0.7536493626124596,0.8187268555670199,1.5859822154716525,3.5371725791532036,4.351378144814989,4.013599151743251,5.489816435582387,4.80109641031954,1.9414832312398314,2.4170048169841793,5.073911407609707,3.204493185104748,6.279266350474355,0.0829693056387068,4.955365726587475,2.7148430746428014,5.922318296058791,3.89760906807379,0.865839967657675,4.059826053911904,2.4929785221929293,0.6280079121845948,6.216729289595399,4.455799739079891,3.6392793421167102,5.592280615019048,2.690309072647587,2.128587668676702,0.34473588933829463,1.540751942739163,5.087030351424362,6.08842576682831,4.39625278079433,2.1220743567789744,3.0120741895039895,5.208049404884041,2.5371323257381033,0.7518608684245633,2.072108318302565,3.495866808187011,3.5266292763847757,0.31525531065786006,1.5237034271051868,4.327865555351104,0.5757760180106265,1.5333454737018362,5.284519230084942,4.531429884882211,4.943928013372134,1.6482054338063619,4.539171073173728
